# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |  __probe_kernel_read() {
 0) ! 132.705 us  |    }
 0) ! 135.108 us  |  }
 0)               |  tracepoint_probe_register() {
 0)               |    tracepoint_probe_register_prio() {
 0)   1.225 us    |      mutex_lock();
 0)               |      __kmalloc() {
 0)   1.185 us    |        kmalloc_slab();
 0)   1.169 us    |        should_failslab();
 0)   6.041 us    |      }
 0)   1.190 us    |      static_key_count();
 0)   1.242 us    |      mutex_unlock();
 0) + 16.217 us   |    }
 0) + 18.618 us   |  }
 0)               |  release_early_probes() {
 0)               |    call_rcu() {
 0)               |      __call_rcu() {
 0)   2.025 us    |        rcu_segcblist_enqueue();
 0)   7.190 us    |      }
 0) + 10.611 us   |    }
 0) + 26.955 us   |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.722 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.237 us    |          _raw_spin_lock_irqsave();
 0)   2.631 us    |          rpm_resume();
 0)   1.297 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.107 us   |        }
 0)               |        bus_for_each_drv() {
 0)   1.219 us    |          _raw_spin_lock_irqsave();
 0)   1.297 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.513 us    |                  _raw_spin_lock_irqsave();
 0)   4.072 us    |                  __of_match_node.part.0();
 0)   1.198 us    |                  _raw_spin_unlock_irqrestore();
 0) + 11.933 us   |                }
 0) + 14.475 us   |              }
 0) + 18.005 us   |            }
 0) + 21.012 us   |          }
 0)   1.213 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.195 us    |                  _raw_spin_lock_irqsave();
 0)   5.408 us    |                  __of_match_node.part.0();
 0)   1.219 us    |                  _raw_spin_unlock_irqrestore();
 0) + 12.383 us   |                }
 0) + 14.658 us   |              }
 0) + 17.191 us   |            }
 0) + 19.951 us   |          }
 0)   1.220 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.157 us    |              of_match_device();
 0)   3.782 us    |            }
 0)   6.098 us    |          }
 0)   1.198 us    |          _raw_spin_lock_irqsave();
 0)   1.182 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.197 us    |                  _raw_spin_lock_irqsave();
 0)   3.436 us    |                  __of_match_node.part.0();
 0)   1.205 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.390 us   |                }
 0) + 12.640 us   |              }
 0) + 15.195 us   |            }
 0) + 17.655 us   |          }
 0)   1.192 us    |          _raw_spin_lock_irqsave();
 0)   1.223 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.306 us    |                  _raw_spin_lock_irqsave();
 0)   3.825 us    |                  __of_match_node.part.0();
 0)   1.205 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.775 us   |                }
 0) + 13.052 us   |              }
 0) + 15.581 us   |            }
 0) + 17.888 us   |          }
 0)   1.192 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.195 us    |                  _raw_spin_lock_irqsave();
 0)   3.839 us    |                  __of_match_node.part.0();
 0)   1.203 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.787 us   |                }
 0) + 13.079 us   |              }
 0) + 15.747 us   |            }
 0) + 18.197 us   |          }
 0)   1.234 us    |          _raw_spin_lock_irqsave();
 0)   1.208 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.195 us    |                  _raw_spin_lock_irqsave();
 0)   3.612 us    |                  __of_match_node.part.0();
 0)   1.237 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.490 us   |                }
 0) + 12.770 us   |              }
 0) + 15.226 us   |            }
 0) + 20.091 us   |          }
 0)   1.192 us    |          _raw_spin_lock_irqsave();
 0)   1.150 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.199 us    |                  _raw_spin_lock_irqsave();
 0)   7.370 us    |                  __of_match_node.part.0();
 0)   1.230 us    |                  _raw_spin_unlock_irqrestore();
 0) + 14.368 us   |                }
 0) + 16.615 us   |              }
 0) + 19.259 us   |            }
 0) + 21.628 us   |          }
 0)   1.211 us    |          _raw_spin_lock_irqsave();
 0)   1.218 us    |          _raw_spin_unlock_irqrestore();
 0) ! 200.495 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.332 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.325 us    |            rpm_check_suspend_allowed();
 0)   4.650 us    |          }
 0)   1.187 us    |          _raw_spin_unlock_irqrestore();
 0) + 12.200 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.188 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.289 us    |            rpm_check_suspend_allowed();
 0)   3.554 us    |          }
 0)   1.176 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.539 us   |        }
 0)   1.223 us    |        mutex_unlock();
 0) ! 247.179 us  |      }
 0) ! 250.181 us  |    }
 0)   1.213 us    |    mutex_lock();
 0)   1.200 us    |    mutex_unlock();
 0) ! 266.375 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.405 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.226 us    |          _raw_spin_lock_irqsave();
 0)   1.703 us    |          rpm_resume();
 0)   1.187 us    |          _raw_spin_unlock_irqrestore();
 0)   8.945 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.220 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.198 us    |                  _raw_spin_lock_irqsave();
 0)   4.240 us    |                  __of_match_node.part.0();
 0)   1.188 us    |                  _raw_spin_unlock_irqrestore();
 0) + 11.270 us   |                }
 0) + 13.675 us   |              }
 0) + 16.454 us   |            }
 0) + 19.089 us   |          }
 0)   1.209 us    |          _raw_spin_lock_irqsave();
 0)   1.227 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.191 us    |                  _raw_spin_lock_irqsave();
 0)   5.997 us    |                  __of_match_node.part.0();
 0)   1.297 us    |                  _raw_spin_unlock_irqrestore();
 0) + 12.943 us   |                }
 0) + 15.216 us   |              }
 0) + 17.635 us   |            }
 0) + 20.170 us   |          }
 0)   1.196 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.196 us    |              of_match_device();
 0)   3.681 us    |            }
 0)   6.017 us    |          }
 0)   1.195 us    |          _raw_spin_lock_irqsave();
 0)   1.203 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.195 us    |                  _raw_spin_lock_irqsave();
 0)   3.867 us    |                  __of_match_node.part.0();
 0)   1.209 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.750 us   |                }
 0) + 12.993 us   |              }
 0) + 15.453 us   |            }
 0) + 17.805 us   |          }
 0)   1.186 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.191 us    |                  _raw_spin_lock_irqsave();
 0)   3.962 us    |                  __of_match_node.part.0();
 0)   1.205 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.838 us   |                }
 0) + 13.074 us   |              }
 0) + 15.464 us   |            }
 0) + 17.810 us   |          }
 0)   1.176 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.195 us    |                  _raw_spin_lock_irqsave();
 0)   3.845 us    |                  __of_match_node.part.0();
 0)   1.209 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.774 us   |                }
 0) + 13.005 us   |              }
 0) + 15.320 us   |            }
 0) + 17.667 us   |          }
 0)   1.220 us    |          _raw_spin_lock_irqsave();
 0)   1.274 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.195 us    |                  _raw_spin_lock_irqsave();
 0)   3.877 us    |                  __of_match_node.part.0();
 0)   1.239 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.727 us   |                }
 0) + 13.003 us   |              }
 0) + 15.425 us   |            }
 0) + 17.833 us   |          }
 0)   1.187 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.198 us    |                  _raw_spin_lock_irqsave();
 0)   8.898 us    |                  __of_match_node.part.0();
 0)   1.235 us    |                  _raw_spin_unlock_irqrestore();
 0) + 15.926 us   |                }
 0) + 18.189 us   |              }
 0) + 20.520 us   |            }
 0) + 22.875 us   |          }
 0)   1.209 us    |          _raw_spin_lock_irqsave();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0) ! 196.042 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.197 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.188 us    |            rpm_check_suspend_allowed();
 0)   3.495 us    |          }
 0)   1.185 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.766 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.196 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.162 us    |            rpm_check_suspend_allowed();
 0)   3.457 us    |          }
 0)   1.303 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.491 us   |        }
 0)   1.297 us    |        mutex_unlock();
 0) ! 238.773 us  |      }
 0) ! 241.588 us  |    }
 0)   1.233 us    |    mutex_lock();
 0)   1.222 us    |    mutex_unlock();
 0) ! 252.193 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.272 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.200 us    |          _raw_spin_lock_irqsave();
 0)   1.323 us    |          rpm_resume();
 0)   1.169 us    |          _raw_spin_unlock_irqrestore();
 0)   8.363 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.172 us    |          _raw_spin_lock_irqsave();
 0)   1.197 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.198 us    |                  _raw_spin_lock_irqsave();
 0)   3.299 us    |                  __of_match_node.part.0();
 0)   1.178 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.552 us   |                }
 0) + 12.807 us   |              }
 0) + 15.485 us   |            }
 0) + 17.856 us   |          }
 0)   1.178 us    |          _raw_spin_lock_irqsave();
 0)   1.239 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.319 us    |                  _raw_spin_lock_irqsave();
 0)   4.978 us    |                  __of_match_node.part.0();
 0)   1.244 us    |                  _raw_spin_unlock_irqrestore();
 0) + 12.008 us   |                }
 0) + 14.291 us   |              }
 0) + 16.661 us   |            }
 0) + 18.982 us   |          }
 0)   1.198 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.197 us    |              of_match_device();
 0)   3.557 us    |            }
 0)   5.917 us    |          }
 0)   1.331 us    |          _raw_spin_lock_irqsave();
 0)   1.182 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.195 us    |                  _raw_spin_lock_irqsave();
 0)   2.985 us    |                  __of_match_node.part.0();
 0)   1.323 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.005 us   |                }
 0) + 12.237 us   |              }
 0) + 14.583 us   |            }
 0) + 16.887 us   |          }
 0)   1.191 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.197 us    |                  _raw_spin_lock_irqsave();
 0)   2.958 us    |                  __of_match_node.part.0();
 0)   1.200 us    |                  _raw_spin_unlock_irqrestore();
 0)   9.883 us    |                }
 0) + 12.115 us   |              }
 0) + 14.538 us   |            }
 0) + 16.876 us   |          }
 0)   1.209 us    |          _raw_spin_lock_irqsave();
 0)   1.204 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.323 us    |                  _raw_spin_lock_irqsave();
 0)   2.971 us    |                  __of_match_node.part.0();
 0)   1.188 us    |                  _raw_spin_unlock_irqrestore();
 0)   9.930 us    |                }
 0) + 12.220 us   |              }
 0) + 14.588 us   |            }
 0) + 16.965 us   |          }
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.195 us    |                  _raw_spin_lock_irqsave();
 0)   3.074 us    |                  __of_match_node.part.0();
 0)   1.186 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.007 us   |                }
 0) + 12.284 us   |              }
 0) + 14.609 us   |            }
 0) + 16.959 us   |          }
 0)   1.237 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.210 us    |                  _raw_spin_lock_irqsave();
 0)   6.370 us    |                  __of_match_node.part.0();
 0)   1.260 us    |                  _raw_spin_unlock_irqrestore();
 0) + 13.310 us   |                }
 0) + 15.609 us   |              }
 0) + 17.910 us   |            }
 0) + 20.232 us   |          }
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0) ! 186.274 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.318 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.282 us    |            rpm_check_suspend_allowed();
 0)   3.655 us    |          }
 0)   1.219 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.865 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.185 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   2.228 us    |            rpm_check_suspend_allowed();
 0)   4.552 us    |          }
 0)   1.234 us    |          _raw_spin_unlock_irqrestore();
 0) + 11.597 us   |        }
 0)   1.197 us    |        mutex_unlock();
 0) ! 227.945 us  |      }
 0) ! 230.357 us  |    }
 0)   1.235 us    |    mutex_lock();
 0)   1.177 us    |    mutex_unlock();
 0) ! 238.942 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.275 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.179 us    |          _raw_spin_lock_irqsave();
 0)   1.296 us    |          rpm_resume();
 0)   1.190 us    |          _raw_spin_unlock_irqrestore();
 0)   8.365 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.202 us    |          _raw_spin_lock_irqsave();
 0)   1.205 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.198 us    |                  _raw_spin_lock_irqsave();
 0)   4.245 us    |                  __of_match_node.part.0();
 0)   1.207 us    |                  _raw_spin_unlock_irqrestore();
 0) + 11.210 us   |                }
 0) + 13.468 us   |              }
 0) + 16.020 us   |            }
 0) + 18.435 us   |          }
 0)   1.166 us    |          _raw_spin_lock_irqsave();
 0)   1.177 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.191 us    |                  _raw_spin_lock_irqsave();
 0)   5.800 us    |                  __of_match_node.part.0();
 0)   1.219 us    |                  _raw_spin_unlock_irqrestore();
 0) + 12.786 us   |                }
 0) + 15.012 us   |              }
 0) + 17.330 us   |            }
 0) + 19.678 us   |          }
 0)   1.225 us    |          _raw_spin_lock_irqsave();
 0)   1.220 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.145 us    |              of_match_device();
 0)   3.647 us    |            }
 0)   5.975 us    |          }
 0)   1.202 us    |          _raw_spin_lock_irqsave();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.187 us    |                  _raw_spin_lock_irqsave();
 0)   3.868 us    |                  __of_match_node.part.0();
 0)   1.208 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.773 us   |                }
 0) + 13.161 us   |              }
 0) + 15.488 us   |            }
 0) + 17.792 us   |          }
 0)   1.170 us    |          _raw_spin_lock_irqsave();
 0)   1.177 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.198 us    |                  _raw_spin_lock_irqsave();
 0)   3.972 us    |                  __of_match_node.part.0();
 0)   1.200 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.878 us   |                }
 0) + 13.113 us   |              }
 0) + 15.462 us   |            }
 0) + 17.777 us   |          }
 0)   1.166 us    |          _raw_spin_lock_irqsave();
 0)   1.176 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.187 us    |                  _raw_spin_lock_irqsave();
 0)   3.845 us    |                  __of_match_node.part.0();
 0)   1.208 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.824 us   |                }
 0) + 13.063 us   |              }
 0) + 15.402 us   |            }
 0) + 17.725 us   |          }
 0)   1.202 us    |          _raw_spin_lock_irqsave();
 0)   1.207 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   2.559 us    |                  _raw_spin_lock_irqsave();
 0)   3.869 us    |                  __of_match_node.part.0();
 0)   1.209 us    |                  _raw_spin_unlock_irqrestore();
 0) + 12.189 us   |                }
 0) + 14.540 us   |              }
 0) + 17.027 us   |            }
 0) + 19.292 us   |          }
 0)   1.166 us    |          _raw_spin_lock_irqsave();
 0)   1.176 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.195 us    |                  _raw_spin_lock_irqsave();
 0)   8.883 us    |                  __of_match_node.part.0();
 0)   1.233 us    |                  _raw_spin_unlock_irqrestore();
 0) + 15.873 us   |                }
 0) + 18.290 us   |              }
 0) + 20.603 us   |            }
 0) + 22.918 us   |          }
 0)   1.167 us    |          _raw_spin_lock_irqsave();
 0)   1.177 us    |          _raw_spin_unlock_irqrestore();
 0) ! 193.467 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.228 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.255 us    |            rpm_check_suspend_allowed();
 0)   3.545 us    |          }
 0)   1.189 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.528 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.192 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.165 us    |            rpm_check_suspend_allowed();
 0)   3.548 us    |          }
 0)   1.174 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.500 us   |        }
 0)   1.231 us    |        mutex_unlock();
 0) ! 234.018 us  |      }
 0) ! 236.498 us  |    }
 0)   1.318 us    |    mutex_lock();
 0)   1.220 us    |    mutex_unlock();
 0) ! 245.270 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.410 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.182 us    |          _raw_spin_lock_irqsave();
 0)   1.298 us    |          rpm_resume();
 0)   1.146 us    |          _raw_spin_unlock_irqrestore();
 0)   8.392 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.200 us    |          _raw_spin_lock_irqsave();
 0)   1.199 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.199 us    |                  _raw_spin_lock_irqsave();
 0)   3.197 us    |                  __of_match_node.part.0();
 0)   1.204 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.186 us   |                }
 0) + 12.428 us   |              }
 0) + 14.930 us   |            }
 0) + 17.327 us   |          }
 0)   1.178 us    |          _raw_spin_lock_irqsave();
 0)   1.205 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.313 us    |                  _raw_spin_lock_irqsave();
 0)   4.460 us    |                  __of_match_node.part.0();
 0)   1.235 us    |                  _raw_spin_unlock_irqrestore();
 0) + 11.603 us   |                }
 0) + 13.860 us   |              }
 0) + 16.208 us   |            }
 0)   1.841 us    |            driver_allows_async_probing();
 0)               |            driver_probe_device() {
 0)               |              pm_runtime_get_suppliers() {
 0)               |                device_links_read_lock() {
 0)   1.483 us    |                  __srcu_read_lock();
 0)   3.915 us    |                }
 0)               |                device_links_read_unlock() {
 0)   1.320 us    |                  __srcu_read_unlock();
 0)   3.745 us    |                }
 0) + 11.791 us   |              }
 0)               |              __pm_runtime_resume() {
 0)   1.172 us    |                _raw_spin_lock_irqsave();
 0)   1.253 us    |                rpm_resume();
 0)   1.219 us    |                _raw_spin_unlock_irqrestore();
 0)   8.087 us    |              }
 0)               |              pm_runtime_barrier() {
 0)   1.176 us    |                _raw_spin_lock_irq();
 0)   1.591 us    |                __pm_runtime_barrier();
 0)   9.030 us    |              }
 0)               |              ktime_get() {
 0)   1.335 us    |                jiffies_read();
 0)   4.373 us    |              }
 0)               |              really_probe() {
 0)               |                device_links_check_suppliers() {
 0)   1.225 us    |                  mutex_lock();
 0)   1.186 us    |                  mutex_unlock();
 0)   6.608 us    |                }
 0)               |                pinctrl_bind_pins() {
 0)   5.467 us    |                  devm_kmalloc();
 0) + 17.790 us   |                  devm_pinctrl_get();
 0)   5.292 us    |                  devm_kfree();
 0) + 35.527 us   |                }
